,Player,Team,Season,TSPERCENT,EFGPERCENT,TOTALS%,ORBPERCENT,DRBPERCENT,TRBPERCENT,ASTPERCENT,TOVPERCENT,STLPERCENT,BLKPERCENT,USGPERCENT,PPR,PPS,ORTG,DRTG,EDIFF,FIC,PER,cluster
6250,R.J. Cole,HWRD,2018,0.536,.483,152.3,2.3,9.2,5.7,36.5,14.8,2.6,0.0,33.3,0.5,1.3,109.2,110.6,-1.4,420.8,21.4,cluster_8
6251,Rashad McCants,UNC,2003,0.593,.575,160.4,7.6,11.9,9.7,11.3,13.9,2.6,1.8,27.1,-4.3,1.4,111.8,99.4,12.4,351.5,21.3,cluster_8
6252,Will Richard,BLMNT,2022,0.588,.548,159.8,7.3,18.3,13.1,11.6,11.9,2.6,3.4,21.7,-0.6,1.4,117.1,95.2,21.9,355.4,22.2,cluster_8
6253,Curtis Stinson,IWAST,2004,0.519,.498,142.6,6.6,12.1,9.3,24.4,19.8,2.7,0.5,26.3,-2.6,1.2,100.9,101.6,-0.7,352.8,17.7,cluster_8
6254,Q.J. Peterson,VMI,2014,0.516,.468,147.4,5.3,11.4,8.3,10.9,10.6,2.7,0.9,27.8,-2.1,1.2,110.2,106.6,3.6,367.3,19.3,cluster_8
6255,De'Aaron Fox,UK,2017,0.549,.498,146.1,2.1,12.2,7.2,28.1,13.7,2.7,0.7,27.4,2.0,1.3,113.7,96.0,17.7,391.8,21.5,cluster_8
6256,Kyle Filipowski,DUKE,2023,0.533,.481,148.8,10.6,25.5,18.3,11.5,15.0,2.7,2.7,29.7,-5.3,1.3,107.4,90.6,16.8,413.8,24.1,cluster_8
6257,Tim Williams,SAMF,2013,0.574,.544,122.5,6.8,19.8,13.3,5.8,10.8,2.7,3.7,22.9,-3.0,1.4,112.3,100.7,11.5,365.8,22.0,cluster_8
6258,Tyus Jones,DUKE,2015,0.575,.489,168.5,1.8,9.9,6.1,27.5,15.9,2.7,0.2,18.7,5.1,1.4,124.9,98.2,26.7,444.8,19.3,cluster_8
6259,Tyrese Haliburton,IWAST,2019,0.666,.662,164.1,2.7,8.8,5.9,17.3,13.5,2.7,2.8,9.1,4.8,1.4,138.4,100.6,37.7,358.0,15.3,cluster_8
6260,Caleb Green,ORU,2004,0.629,.593,151.0,12.9,26.9,20.1,13.6,20.1,2.7,1.3,26.8,-6.5,1.6,113.9,98.0,15.8,390.3,25.0,cluster_8
6261,Dejounte Murray,UWASH,2016,0.485,.451,136.6,4.1,13.7,8.8,25.6,16.3,2.8,0.8,25.8,-0.7,1.1,99.8,100.8,-1.0,353.5,16.2,cluster_8
6262,Shawne Williams,MEMP,2006,0.534,.480,151.4,6.5,16.7,11.6,12.9,15.4,2.8,5.1,24.1,-3.5,1.3,110.5,87.3,23.2,352.9,19.9,cluster_8
6263,Justise Winslow,DUKE,2015,0.572,.551,154.5,5.4,19.8,13.1,13.2,14.2,2.8,2.9,22.9,-1.4,1.4,115.2,91.9,23.2,410.8,21.2,cluster_8
