,Player,Season,MPG,PPG,FGM,FGA,FGPercent,3PM,3PA,3PPercent,FTM,FTA,FTPercent,ORB,DRB,RPG,APG,SPG,BPG,TOV,cluster
6564,Robert Hinton,2025,30,14.6,5.4,11.3,0.477,0.6,1.7,0.356,3.2,4.2,0.763,1,3.1,4.1,1.8,1.3,0,1.4,cluster_8
6565,Jeremiah Fears,2025,29.7,16.4,5.2,11.6,0.444,1,3.6,0.275,5,5.9,0.848,0.8,3.4,4.1,4.2,1.6,0.1,3.5,cluster_8
6566,V.J. Edgecombe,2025,32.2,14.7,5,11.4,0.439,1.6,4.6,0.359,3.1,4,0.768,1.9,3.5,5.4,3.3,2.1,0.6,2,cluster_8
6567,Kasparas Jakucionis,2025,31.8,15.2,4.7,10.3,0.455,1.7,5.1,0.331,4.1,4.9,0.832,1.2,4.3,5.6,4.8,0.9,0.3,3.4,cluster_8
6568,Will Sydnor,2025,29.6,14.3,5.4,11.8,0.456,1.7,4.8,0.353,1.8,2.9,0.624,1.5,5.2,6.8,1.6,0.7,1.1,1.8,cluster_8
6569,Gabriel Pozzato,2025,34.8,14.9,5.3,11.8,0.447,1.8,5.8,0.317,2.6,3.7,0.705,0.8,3.6,4.4,1.3,1.3,0.4,2,cluster_8
6570,Liam McNeeley,2025,31.9,14.7,4.3,11,0.395,1.8,5.3,0.347,4.1,4.8,0.864,1,5.1,6.2,2.5,0.5,0.3,2,cluster_8
6571,Jeremiah Wilkinson,2025,26.9,15.4,5,12.2,0.41,1.9,5.7,0.326,3.5,4.5,0.786,0.5,1.5,2,1.5,0.8,0.1,1.6,cluster_8
6572,Boogie Fland,2025,34,15.1,5.1,13.1,0.391,1.9,5.3,0.365,2.9,3.4,0.839,0.5,2.9,3.4,5.7,1.5,0.1,1.6,cluster_8
6573,Joe Sayler,2025,30,12.7,4.4,11.2,0.393,1.9,5.6,0.335,2.1,2.4,0.861,0.2,2.4,2.6,1.9,0.6,0,1.9,cluster_8
6574,All Wright,2025,29.4,15.5,5.4,13.1,0.408,2,5.1,0.383,2.8,3.5,0.805,0.5,1.7,2.2,2.4,0.9,0.2,1.4,cluster_8
6575,Kon Knueppel,2025,29.8,13.7,4.5,9.7,0.47,2.2,5.6,0.399,2.4,2.6,0.914,1.1,2.8,3.8,2.5,0.9,0.2,1.3,cluster_8
6576,Max Green,2025,34.3,14.9,5.2,12.3,0.419,2.3,5.9,0.38,2.3,3.3,0.699,1,4.6,5.6,3.5,0.9,0.3,2.7,cluster_8
6577,Martin Somerville,2025,31.6,13.6,4.2,9.9,0.42,2.3,5.8,0.405,3,3.6,0.826,0.4,2.5,2.9,3.7,1.5,0.1,1.5,cluster_8
6578,Austin Rapp,2025,32.9,13.8,4.4,11,0.397,2.7,7.6,0.352,2.4,3,0.815,0.6,5.9,6.5,2.5,0.6,1.5,2.6,cluster_8
6579,Bryce Lindsay,2025,29.4,13.6,4.7,10.1,0.464,2.9,6.9,0.415,1.3,1.5,0.87,0.3,2.3,2.6,2.2,0.6,0.1,1.1,cluster_8
6580,"Dedan Thomas, Jr.",2024,34.8,13.6,4.8,10.7,0.449,1,2.8,0.362,3.1,4.1,0.743,0.2,2.6,2.7,5.1,0.9,0,2.2,cluster_8
6581,Deywilk Tavarez,2024,30.8,13.7,4.5,11.2,0.396,1.6,4.5,0.362,3.1,4.1,0.769,0.3,3,3.4,3.6,2,0,3.8,cluster_8
6582,Budd Clark,2024,31.2,13.4,5.2,11.1,0.469,0.2,1.3,0.14,2.8,3.7,0.748,0.8,1.7,2.5,3.9,2.5,0.1,2.5,cluster_8
6583,Barrington Hargress,2024,31.6,12.6,4.8,11.6,0.411,0.9,3,0.311,2.1,3.1,0.673,0.4,2.7,3.1,4.5,1.3,0.1,1.4,cluster_8
6584,Eric Acker,2024,33.4,12.7,4.9,12.6,0.387,1.1,3.8,0.283,1.8,2.7,0.662,0.9,2.8,3.7,3.8,0.6,0.1,3.3,cluster_8
6585,Jacob Meyer,2024,34.1,15.7,5.8,13,0.449,1.5,3.8,0.402,2.5,3.7,0.67,1,4.1,5.1,2.6,1,0.1,2.6,cluster_8
6586,Tyler Perkins,2024,29.8,13.7,4.6,11.8,0.391,1.8,5.2,0.347,2.7,3.5,0.765,1.5,3.8,5.3,1.9,1.4,0.1,1.8,cluster_8
6587,Xzayvier Brown,2024,30.7,12.7,4.3,9.3,0.46,2,4.9,0.404,2.1,2.7,0.796,0.4,3.6,4,3.3,1.8,0.1,1.9,cluster_8
6588,Tariq Francis,2024,27.4,14.8,5.1,13.2,0.389,2.1,6.1,0.352,2.3,3,0.788,1.1,2.9,4.1,2.6,1.5,0.1,2,cluster_8
6589,Jared McCain,2024,31.6,14.3,4.9,10.5,0.462,2.4,5.8,0.414,2.1,2.4,0.885,0.8,4.2,5,1.9,1.1,0.1,1.3,cluster_8
6590,Josh Hubbard,2024,27.6,17.1,5.3,13.7,0.385,3.1,8.7,0.355,3.5,4.1,0.853,0.3,1.9,2.2,1.7,0.7,0.1,1.2,cluster_8
6591,"Roddy Gayle, Jr.",2024,30.9,13.5,4.7,10.4,0.449,0.8,2.9,0.282,3.3,4,0.832,1,3.6,4.6,3.1,0.8,0.2,2.4,cluster_8
6592,Isaiah Collier,2024,29.9,16.3,5.7,11.6,0.49,1,3,0.338,3.9,5.8,0.673,0.6,2.3,2.9,4.3,1.5,0.2,3.3,cluster_8
6593,Myles Rice,2024,33.2,14.8,5.4,12.4,0.439,1,3.7,0.275,2.9,3.6,0.811,0.4,2.7,3.1,3.8,1.6,0.2,2.6,cluster_8
6594,Jackson Shelstad,2024,32.7,12.8,4.9,10.9,0.45,1.5,4.4,0.345,1.5,1.8,0.857,0.4,2.4,2.8,2.8,0.7,0.2,1.6,cluster_8
6595,Bub Carrington,2024,33.2,13.8,4.8,11.7,0.412,2,6.1,0.322,2.2,2.8,0.785,0.5,4.7,5.2,4.1,0.6,0.2,1.9,cluster_8
6596,Ja'Kobe Walter,2024,32.3,14.5,4.1,10.9,0.376,2.1,6.3,0.341,4.1,5.2,0.792,1.3,3.1,4.4,1.4,1.1,0.2,1.3,cluster_8
6597,Garrett Johnson,2024,29.2,13.4,4.3,10,0.428,2.3,5.6,0.403,2.7,3,0.871,1,4.6,5.6,1,0.8,0.3,1.6,cluster_8
6598,Tucker Anderson,2024,30.9,14.5,4.8,11.5,0.415,2.4,6.4,0.381,2.5,3.1,0.813,0.8,2.9,3.7,1.5,0.9,0.5,1.2,cluster_8
6599,Josh Scovens,2024,30.9,12,4.4,10.9,0.4,1.4,4.3,0.321,1.9,2.8,0.667,1.3,4.1,5.4,1.9,0.7,1.1,1.8,cluster_8
6600,Taylor Hendricks,2023,34.7,15.1,5.4,11.3,0.478,1.8,4.6,0.394,2.5,3.2,0.782,2.4,4.6,7,1.4,0.9,1.7,1.4,cluster_8
6601,Mike Gerrity,2006,33.2,14.1,5.2,12.7,0.412,0.4,1.7,0.222,3.3,5,0.651,0.5,2.2,2.7,3.4,1.9,0,3.8,cluster_8
6602,Devin Gibson,2008,33.5,14.1,3.9,8.9,0.436,0.6,1.9,0.296,5.8,8.3,0.701,1.5,2.6,4.1,5.1,3.3,0,4,cluster_8
6603,Marcquise Reed,2015,27.8,15.1,5.6,11.5,0.49,0.9,2.3,0.413,2.9,3.7,0.779,0.6,1.9,2.5,2.1,1.9,0,2.6,cluster_8
6604,Dwayne Bacon,2016,28.8,15.8,5.8,13,0.447,0.9,3.4,0.281,3.2,4.5,0.714,1.4,4.4,5.8,1.5,1,0,2.2,cluster_8
6605,Brandon Ewing,2006,35.4,13.2,3.9,9.1,0.432,1.1,3.5,0.301,4.3,5.4,0.792,0.7,2.8,3.5,2.8,1.6,0,2.2,cluster_8
6606,Tim Smith,2003,32.5,15.3,5.6,12.7,0.441,1.3,3,0.424,2.8,3.9,0.733,0.9,2.8,3.7,3.7,2.4,0,4.1,cluster_8
6607,Robert Smith,2010,32.8,12.1,4,11.7,0.344,1.3,4.4,0.286,2.8,4,0.701,0.4,2.6,3.1,3,1,0,3.5,cluster_8
6608,Jonathan Stark,2014,37.2,14.5,4.7,11.3,0.417,1.3,3.5,0.381,3.8,5.1,0.746,0.4,2.3,2.6,4.2,0.9,0,2.5,cluster_8
6609,Otis Livingston II,2016,34.3,11.9,3.9,9.9,0.39,1.4,4.1,0.354,2.7,3.6,0.763,0.3,2.3,2.6,3.6,0.7,0,2.2,cluster_8
6610,Jermaine Marrow,2017,31,15.6,5.2,15.1,0.343,1.4,4.9,0.276,3.9,5.1,0.761,0.8,2.4,3.2,3,0.7,0,3.3,cluster_8
6611,Demontrae Jefferson,2017,32.1,14.3,4.6,12.1,0.376,1.4,4.6,0.302,3.8,5.2,0.719,0.5,1.6,2,3.1,1.1,0,3.1,cluster_8
6612,Mike Smith,2017,31.4,13.6,4.8,12,0.401,1.4,3.7,0.386,2.6,3.1,0.821,0.4,1.7,2.1,3.4,1.1,0,1.8,cluster_8
6613,Jackson Paveletzke,2023,33,15.1,5.1,10.3,0.493,1.4,3.5,0.393,3.5,4.2,0.842,0.4,2.3,2.7,3.7,0.8,0,2.4,cluster_8
6614,Jack McClinton,2005,32.3,13.6,4.6,10.8,0.423,1.5,4.3,0.357,2.9,3.6,0.815,0.9,4.1,5,2.7,1.1,0,2.6,cluster_8
6615,Rodney Elliott,2014,31.3,15,4.7,10.4,0.452,1.5,4.2,0.354,4.1,5.9,0.697,0.6,3.3,3.9,3.6,1.3,0,3.6,cluster_8
6616,Khallid Hart,2014,34.5,14.7,4.8,10.5,0.457,1.5,3.8,0.381,3.7,4.6,0.792,0.6,2.4,3,2.5,1.4,0,2.4,cluster_8
6617,Xavier Rathan-Mayes,2015,34.7,14.9,5.2,12.4,0.416,1.5,5.3,0.281,3.1,4.4,0.69,0.5,3,3.5,4.3,1.1,0,3.4,cluster_8
6618,Rob Edwards,2016,31.1,12.4,4.1,10.3,0.393,1.5,3.9,0.395,2.8,3.7,0.748,0.7,3.3,3.9,1.4,1.2,0,3.4,cluster_8
6619,Asher Woods,2023,35.3,14.2,5,12.9,0.387,1.5,4.8,0.316,2.7,3.4,0.78,0.9,3.5,4.4,2.3,0.9,0,2.4,cluster_8
6620,Dee Brown,2003,34.1,12,4.4,10.2,0.434,1.6,4.8,0.329,1.5,2.3,0.681,1.1,2.6,3.7,5,1.8,0,1.9,cluster_8
6621,Brandon Heath,2004,29.9,13.8,4.8,12.3,0.391,1.6,5.3,0.3,2.6,3.7,0.7,0.8,1.9,2.7,1.8,1.4,0,2.2,cluster_8
6622,Jarred DuBois,2009,34.5,13.5,4,12.2,0.331,1.6,4.5,0.348,3.8,4.5,0.843,0.7,2.3,3,2.7,1.1,0,3,cluster_8
6623,James Douglas,2012,30.1,12.2,4.4,10.6,0.414,1.6,4.3,0.383,1.8,2.4,0.742,0.7,2,2.6,2.3,1.3,0,2.3,cluster_8
6624,James Akinjo,2019,31.6,13.4,3.9,10.6,0.365,1.6,4,0.391,4.1,5,0.812,0.2,2.7,2.9,5.2,1.1,0,3,cluster_8
6625,Phillip Russell,2022,30.2,13.4,4.2,10.1,0.419,1.6,4.8,0.336,3.3,4.5,0.733,0.9,1.7,2.5,3.2,1.2,0,2.2,cluster_8
6626,Josh White,2008,31.9,13.9,4.1,8.9,0.46,1.7,3.6,0.461,4.1,4.8,0.844,0.5,2,2.5,1.5,0.5,0,2.1,cluster_8
6627,John Roberson,2008,30.9,12.3,4.1,9.7,0.422,1.7,4.4,0.4,2.3,3.2,0.72,0.3,2.3,2.5,3.3,0.8,0,2.7,cluster_8
6628,J.P. Kuhlman,2010,32.9,12.6,4.3,10.1,0.424,1.7,4.2,0.415,2.3,3.2,0.72,1,2.4,3.5,3.3,0.9,0,2.7,cluster_8
6629,Austin Rivers,2012,33.2,15.5,5.1,11.8,0.433,1.7,4.7,0.365,3.6,5.4,0.658,0.6,2.8,3.4,2.1,1,0,2.3,cluster_8
6630,Ricky Tarrant,2012,33.1,14.9,4.5,10.6,0.426,1.7,4.9,0.344,4.2,5.4,0.784,0.5,3.1,3.6,3.3,1.7,0,2.2,cluster_8
6631,"Marcus LoVett, Jr.",2017,31.6,15.9,5.5,11.9,0.464,1.7,4.4,0.382,3.1,3.9,0.803,0.6,2.3,2.9,3.8,1.3,0,2.6,cluster_8
6632,Tommy Bruner,2020,29.6,14,4.8,11.6,0.413,1.7,5,0.337,2.7,3.4,0.802,0.4,1.7,2.1,2.3,0.9,0,2.5,cluster_8
6633,Nico Mannion,2020,32.3,14,4.5,11.5,0.392,1.7,5.1,0.327,3.3,4.2,0.797,0.3,2.3,2.5,5.3,1.2,0,2.6,cluster_8
6634,Vinnie McGhee,2008,33.7,12.1,4.4,11.3,0.385,1.8,4.8,0.37,1.6,2.3,0.714,0.6,1.4,2,5.1,1.4,0,3.4,cluster_8
6635,Shelvin Mack,2009,30.8,11.9,3.8,9.8,0.391,1.8,5.5,0.326,2.5,3.3,0.757,1.3,3.2,4.4,3.5,1.1,0,2.1,cluster_8
6636,Jontrell Walker,2015,29.9,13.7,4.4,10.3,0.428,1.8,4.9,0.366,3.1,3.6,0.857,0.5,1.7,2.2,1.8,0.9,0,2.3,cluster_8
6637,Kurk Lee,2017,32.9,14.9,5.3,12.9,0.415,1.8,4.5,0.4,2.4,3.6,0.678,0.8,3.1,3.9,5,1.6,0,2.9,cluster_8
6638,Brandon Boyd,2017,30.1,12.4,3.9,9.6,0.404,1.8,4.6,0.394,2.9,3.3,0.86,0.7,2,2.7,1.2,1.4,0,1.9,cluster_8
6639,Matt Witt,2003,31.4,13.6,5.1,13,0.395,1.9,5.5,0.353,1.4,1.8,0.78,0.5,1.8,2.2,5.1,1.5,0,3.1,cluster_8
6640,Chris Flores,2010,30.2,14.1,4.9,11.6,0.421,1.9,5,0.377,2.5,3.7,0.678,1.1,2.8,3.9,2.2,1.8,0,1.9,cluster_8
6641,Adam Terrell,2012,30.3,13.7,4.8,12.8,0.379,1.9,5.6,0.331,2.2,2.6,0.817,0.4,2.8,3.2,1.6,0.5,0,1.5,cluster_8
6642,Riley LaChance,2015,33.3,12.3,4.2,9.6,0.436,1.9,4.9,0.382,2,2.3,0.873,0.3,2.9,3.1,2.9,0.7,0,1.3,cluster_8
6643,Bubba Parham,2018,29.8,14.6,4.8,12.1,0.399,1.9,5.8,0.331,3,3.8,0.798,0.4,3,3.4,2.5,0.8,0,2.8,cluster_8
6644,Vado Morse,2019,30.8,14.7,4.7,11.3,0.417,1.9,5.4,0.356,3.4,4.4,0.779,0.4,2.1,2.6,2.9,1.1,0,2.4,cluster_8
6645,Koreem Ozier,2019,28.4,14,4.7,12.5,0.378,1.9,5.7,0.338,2.7,3.5,0.753,0.7,4,4.7,1.5,0.8,0,2,cluster_8
6646,Mike DiNunno,2009,29.5,11.9,3.8,10.8,0.352,2,5.8,0.339,2.4,3.2,0.732,0.6,1.6,2.2,2.6,1.5,0,2.8,cluster_8
6647,Raymond Taylor,2010,32.8,14.2,4.7,12.3,0.384,2,5.3,0.386,2.7,3.7,0.732,0.4,2.7,3,5.9,1.4,0,3.1,cluster_8
6648,Bruce Ellington,2011,30.9,12.8,4.6,14.1,0.326,2,6.6,0.308,1.6,2.5,0.635,0.8,2.5,3.3,3.2,1,0,2.9,cluster_8
6649,Mike Lewis,2017,32.1,14.1,4.4,10.7,0.409,2,5.5,0.36,3.4,4.1,0.832,0.1,2.1,2.3,1.7,0.6,0,2,cluster_8
6650,Deonta Vaughn,2007,33,14.5,5.1,13.6,0.373,2.1,7.2,0.292,2.2,3,0.753,0.9,2.5,3.4,3.5,1.8,0,2.4,cluster_8
6651,Ryan Arcidiacono,2013,34,11.9,3.1,9.1,0.343,2.1,6.4,0.327,3.6,4.4,0.824,0.2,1.9,2.1,3.5,1.1,0,2.8,cluster_8
6652,Asante Gist,2017,31.8,15.9,5.1,13.6,0.374,2.1,6.1,0.339,3.7,5,0.735,0.3,2.2,2.5,3.6,0.9,0,3.4,cluster_8
6653,Marlon Smith,2004,36.2,13.4,4.5,12.6,0.361,2.2,6.5,0.339,2.1,2.8,0.753,0.9,2.8,3.7,2.2,0.8,0,3.8,cluster_8
6654,Matt Dellavedova,2010,36.4,12.1,3.6,9.1,0.39,2.2,5.5,0.398,2.8,3.3,0.85,1,2.5,3.5,4.5,1.2,0,2,cluster_8
6655,Harald Frey,2017,33.2,12.7,4.1,9.1,0.452,2.2,5.3,0.409,2.3,2.7,0.837,0.4,2,2.5,3.4,0.8,0,1.9,cluster_8
6656,Nick Honor,2019,36.1,15.3,5.4,14.6,0.373,2.2,6.6,0.332,2.2,2.7,0.816,0.6,1.8,2.4,3,0.9,0,1.7,cluster_8
6657,Tommy Mason-Griffin,2010,35.5,14.1,4.7,11.9,0.398,2.3,5.3,0.424,2.4,2.9,0.813,0.5,2.4,2.9,5,0.9,0,2.8,cluster_8
6658,Desi Washington,2011,33.5,13.1,4.7,10.8,0.431,2.3,6.2,0.376,1.5,1.8,0.8,0.3,1.4,1.7,1,1.1,0,1.5,cluster_8
6659,Devin Morgan,2016,30.6,12.1,3.9,10.7,0.366,2.3,6.4,0.354,2,2.5,0.795,0.7,2.4,3.1,2.7,0.9,0,1.9,cluster_8
6660,Bryce Aiken,2017,27.8,14.5,4.5,11.4,0.395,2.3,6.5,0.349,3.2,3.7,0.884,0.4,1.8,2.2,2.8,0.8,0,2.5,cluster_8
6661,Ian Krishnan,2019,34,12,4.2,11.5,0.363,2.3,6.7,0.34,1.4,1.6,0.843,0.3,1.7,2,1.2,0.8,0,1,cluster_8
6662,Jordan Dingle,2020,31.4,13.5,4.9,11.8,0.416,2.3,6.7,0.339,1.4,2.4,0.583,0.6,2.8,3.4,2.2,0.8,0,2.6,cluster_8
6663,Jon Iati,2004,40,14,5.2,14.6,0.355,2.4,7.8,0.313,1.2,1.6,0.756,0.2,1.8,2,3,0.8,0,3.1,cluster_8
6664,Jason Holsinger,2006,31.5,12.6,3.9,10,0.388,2.4,6.5,0.365,2.4,2.9,0.843,0.4,1.7,2.1,4.1,0.6,0,3.1,cluster_8
6665,Corey Hassan,2006,29.8,11.9,3.6,10,0.361,2.4,6.7,0.353,2.3,2.8,0.808,0.6,3,3.6,1.6,0.8,0,1.6,cluster_8
6666,Louie Krogman,2009,31.5,13.1,4.6,10.8,0.426,2.4,6.3,0.386,1.5,2.1,0.683,1,3.1,4.1,2.7,0.9,0,1.9,cluster_8
6667,"David Jenkins, Jr.",2018,29.5,16.1,5.2,12.1,0.432,2.4,6.3,0.382,3.3,4.1,0.799,0.3,2.9,3.2,1.6,0.4,0,1.7,cluster_8
6668,Jamarco Warren,2008,30,13.9,5,13.6,0.37,2.5,7.3,0.345,1.3,1.7,0.769,0.7,1.5,2.2,2.7,1,0,2.2,cluster_8
6669,Johnny Dee,2012,29.6,13.7,4.6,10.7,0.432,2.5,6,0.422,2,2.3,0.859,0.3,1.5,1.8,1.2,0.7,0,1.5,cluster_8
6670,Nijel Pack,2021,33.6,12.7,4.5,10.9,0.418,2.5,6.2,0.405,1.1,1.4,0.794,0.6,3.1,3.7,3.8,1.2,0,2,cluster_8
6671,David Holston,2006,32,13.4,4.5,11.3,0.397,2.6,6.5,0.403,1.8,2.1,0.857,1,1.4,2.4,2.8,1.8,0,2.6,cluster_8
6672,Caleb Hunter,2020,31.6,15.7,5.5,16.6,0.332,2.6,9.3,0.278,2.1,3.6,0.584,0.6,2.2,2.9,2.3,1.4,0,2.5,cluster_8
6673,Jordan Howard,2015,33.7,15.7,5,12.4,0.406,2.7,6.8,0.389,3,3.8,0.784,0.2,2.3,2.5,1.9,0.5,0,2.7,cluster_8
6674,Aaron Wellington,2003,32.2,13.5,4.5,11,0.409,2.8,7.1,0.397,1.6,1.8,0.902,1,2.1,3.1,1.9,1.3,0,2.8,cluster_8
6675,Rotnei Clarke,2009,31.6,12.6,4.1,9.9,0.417,2.9,7.1,0.405,1.5,1.6,0.935,0.4,1.4,1.9,1.1,0.9,0,0.9,cluster_8
6676,Adam Gore,2006,32.3,12.9,4.1,9.6,0.428,3,7.1,0.419,1.7,2.1,0.828,0.4,1.9,2.3,1.3,0.9,0,1.4,cluster_8
6677,Marquis Weddle,2008,34.8,17.1,6,14.8,0.409,3,8.9,0.337,2.1,2.8,0.747,0.4,2.5,2.8,1.8,0.9,0,2.3,cluster_8
6678,Tajuan Porter,2007,32.5,14.6,4.6,11.2,0.412,3.1,7.2,0.437,2.3,2.5,0.909,0.4,1.5,1.9,2,0.8,0,2.5,cluster_8
6679,Terry Rose,2013,34.9,14.1,4.9,12.1,0.401,3.1,7.8,0.396,1.3,1.7,0.771,0.6,2.8,3.4,1,0.5,0,2.4,cluster_8
6680,Michael Neal,2006,30.4,12.4,3.9,9.7,0.397,3.2,7.6,0.424,1.4,1.7,0.848,0.9,2,2.9,2,1.1,0,1.2,cluster_8
6681,Damon Lynn,2014,33.8,17.2,5.2,14,0.373,3.7,9.7,0.379,3.1,4,0.778,0.5,2.2,2.8,2.1,1.2,0,1.8,cluster_8
6682,Semaj Christon,2013,34.3,15.2,5.4,12.2,0.444,0.2,0.9,0.25,4.2,6.2,0.672,0.2,2.7,2.9,4.6,1.5,0.1,3.6,cluster_8
6683,Trant Simpson,2007,34,13,4,11,0.359,0.6,2.5,0.246,4.5,5.5,0.812,0.9,2.3,3.2,6,1.6,0.1,5,cluster_8
6684,Trey Freeman,2012,32.1,13.9,4.9,11.3,0.437,0.6,1.7,0.354,3.5,4,0.871,0.5,2.6,3.1,3.8,1.1,0.1,2.4,cluster_8
6685,T.J. Madlock,2022,32.9,12.7,4.5,11,0.406,0.7,2.5,0.303,3.1,4.3,0.722,1.3,4.3,5.6,3.2,1.4,0.1,2.3,cluster_8
6686,Mark Tyndale,2005,34.6,12.5,3.9,11.7,0.33,0.8,3.7,0.216,4,5.5,0.726,1.6,3.9,5.5,2.6,1.2,0.1,1.8,cluster_8
6687,Kory Holden,2015,34.1,12.4,4,10.2,0.395,0.8,2.2,0.375,3.5,4.7,0.756,0.6,2.6,3.1,5,0.6,0.1,3.3,cluster_8
6688,Devon Saddler,2011,33.4,13.3,4.8,10.3,0.467,1,2.7,0.353,2.7,4.4,0.615,0.9,3.4,4.3,2.8,0.7,0.1,3.2,cluster_8
6689,Primo Spears,2022,32.2,12.7,4.6,12.6,0.367,1,3.3,0.3,2.4,3.3,0.745,0.3,2.2,2.5,3,1.3,0.1,2.1,cluster_8
6690,Daryll Hill,2004,35.1,14.8,5.6,14.8,0.381,1.1,3.3,0.344,2.4,3.2,0.747,0.7,2,2.7,3.7,1.6,0.1,3.5,cluster_8
6691,Javaris Crittenton,2007,31.3,14.4,4.9,11,0.45,1.1,3.2,0.356,3.4,4.3,0.783,0.9,2.8,3.7,5.8,2,0.1,3.9,cluster_8
6692,Isaiah Thomas,2009,28.4,15.5,5.1,12.3,0.418,1.1,3.9,0.289,4.1,5.9,0.686,0.7,2.3,3,2.6,1.1,0.1,2.6,cluster_8
6693,Courtney Fortson,2009,32.8,14.8,5.3,12.5,0.424,1.1,3.4,0.31,3.1,5.2,0.603,1.7,3.8,5.5,5.9,1.1,0.1,4.4,cluster_8
6694,Brandon Young,2011,30.4,12.6,4.5,10.5,0.431,1.1,3.4,0.327,2.5,3.5,0.709,0.4,2,2.4,3.7,1.1,0.1,3,cluster_8
6695,Xavier Johnson,2019,31.1,15.5,4.8,11.6,0.415,1.1,3.2,0.352,4.8,6.3,0.751,1.2,2.7,3.9,4.5,1.3,0.1,4,cluster_8
6696,Kyle Lofton,2019,37.4,14.4,5.2,11.8,0.441,1.1,3.4,0.33,2.9,3.4,0.838,0.9,1.6,2.5,3.7,1.4,0.1,1.9,cluster_8
6697,Kevin Miller,2022,32.9,13.1,4.8,11.4,0.421,1.1,3,0.36,2.5,3.2,0.779,0.7,2.7,3.4,4.6,1.1,0.1,2.8,cluster_8
6698,Whit Holcomb-Faye,2003,36.7,14.3,4.4,12.8,0.34,1.2,3.9,0.319,4.3,5.9,0.729,0.6,2.3,2.9,4.1,1.1,0.1,3,cluster_8
6699,Darius Washington,2005,35.1,15.4,5.1,11.1,0.46,1.2,3.1,0.395,4,5.4,0.733,1,2.7,3.6,3.8,1.7,0.1,3.5,cluster_8
6700,Jordan Farmar,2005,34.4,13.2,4.1,10.1,0.411,1.2,3.5,0.333,3.8,4.7,0.801,0.6,2.9,3.5,5.3,1.4,0.1,3.9,cluster_8
6701,Paul McCoy,2009,34.5,13.4,5.1,11.2,0.454,1.2,3.2,0.366,2.1,3.2,0.649,1.1,3,4,3,1.6,0.1,2.6,cluster_8
6702,Taveion Hollingsworth,2018,34.5,13.3,4.5,9.3,0.48,1.2,3.1,0.378,3.2,4,0.791,0.8,2.6,3.4,1.9,1,0.1,1.8,cluster_8
6703,Elijah Hawkins,2022,29.8,13,4.3,11.5,0.376,1.2,4,0.297,3.1,4,0.793,0.5,3.3,3.8,5.5,2.3,0.1,4,cluster_8
6704,D.J. Augustin,2007,35.6,14.4,4.4,9.8,0.449,1.3,2.9,0.441,4.3,5.1,0.838,0.6,2.2,2.8,6.7,1.5,0.1,3.3,cluster_8
6705,Dewayne Russell,2013,33.3,14.4,4.7,11.7,0.398,1.3,3.8,0.339,3.8,5.3,0.732,0.5,2,2.4,3.2,1.5,0.1,3.1,cluster_8
6706,Jr. Clay,2019,31.6,14.4,4.8,11.7,0.411,1.3,3.4,0.394,3.4,4.8,0.719,0.8,3,3.8,4.3,1.8,0.1,4,cluster_8
6707,DeAndre Kane,2011,31.6,15.1,5,11.7,0.428,1.4,4.5,0.318,3.6,5.8,0.633,1.2,4.4,5.6,3.4,0.9,0.1,3.4,cluster_8
6708,"Darrell Brown, Jr.",2017,30.6,12.6,3.8,10,0.383,1.4,3.9,0.371,3.4,4.4,0.786,0.2,2,2.3,2.7,0.7,0.1,2.9,cluster_8
6709,Isaiah Stevens,2020,32.7,13.3,4.6,9.8,0.467,1.4,3.8,0.38,2.6,3.2,0.816,0.4,2.7,3.1,4.5,0.8,0.1,2.2,cluster_8
6710,Ryan Rollins,2021,30.2,13.7,4.9,11.3,0.431,1.4,4.2,0.323,2.6,3.3,0.786,1,4.2,5.2,2.5,1.1,0.1,2.4,cluster_8
6711,Calvin Baker,2006,31.4,11.6,3.9,11.9,0.324,1.5,5.6,0.276,2.3,3.1,0.747,0.6,2.1,2.7,3.6,1.5,0.1,3.1,cluster_8
6712,Kelsey Howard,2012,32.2,14.6,4.9,12.6,0.387,1.5,4.6,0.319,3.4,4.5,0.763,1.3,2.8,4.1,0.9,1,0.1,2.5,cluster_8
6713,Olivier Hanlan,2013,34.2,15.5,5.1,11,0.459,1.5,3.8,0.394,3.8,5.1,0.75,0.8,3.4,4.2,2.3,1.2,0.1,2.2,cluster_8
6714,Blake Wesley,2022,29.3,14.4,5.1,12.6,0.404,1.5,5.1,0.303,2.7,4.1,0.657,0.7,3,3.7,2.4,1.3,0.1,2.2,cluster_8
6715,Delvin Thompson,2005,30.2,14.9,5.1,12,0.425,1.6,5,0.31,3.1,4.8,0.643,1,2.1,3.1,1.4,1.4,0.1,2.5,cluster_8
6716,Tywain McKee,2006,31.6,15.4,5.3,12.6,0.422,1.6,4.4,0.367,3.2,4.2,0.762,1.4,2.8,4.2,2.4,1.6,0.1,3,cluster_8
6717,Nick Calathes,2008,32.6,15.3,4.9,11.4,0.426,1.6,4.4,0.367,4,5.5,0.724,1.1,4.1,5.2,6.1,1.6,0.1,2.9,cluster_8
6718,Armel Potter,2016,30,13.8,4.9,12.4,0.392,1.6,4.5,0.348,2.5,3.6,0.688,0.6,2.6,3.2,3.1,0.9,0.1,2,cluster_8
